"","gene","chrom","loc.start","loc.end","description","gene.name","biotype","chrom.strand","chrom.band"
"4698","ENSG00000009724","1",11022009,11047239,"MBL associated serine protease 2 [Source:HGNC Symbol;Acc:HGNC:6902]","MASP2","protein_coding",-1,"p36.22"
"4710","ENSG00000162779","1",179365720,179554735,"axonemal dynein light chain domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26564]","AXDND1","protein_coding",1,"q25.2"
"4714","ENSG00000116218","1",179550539,179575952,"NPHS2 stomatin family member, podocin [Source:HGNC Symbol;Acc:HGNC:13394]","NPHS2","protein_coding",-1,"q25.2"
"4718","ENSG00000134255","1",111139479,111185104,"choline/ethanolamine phosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:24289]","CEPT1","protein_coding",1,"p13.3"
"4863","ENSG00000171819","1",11189355,11195981,"angiopoietin like 7 [Source:HGNC Symbol;Acc:HGNC:24078]","ANGPTL7","protein_coding",1,"p36.22"
"4866","ENSG00000120942","1",11273198,11296049,"UbiA prenyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30791]","UBIAD1","protein_coding",1,"p36.22"
"4869","ENSG00000198793","1",11106535,11262556,"mechanistic target of rapamycin kinase [Source:HGNC Symbol;Acc:HGNC:3942]","MTOR","protein_coding",-1,"p36.22"
"4871","ENSG00000143373","1",151281618,151292176,"zinc finger protein 687 [Source:HGNC Symbol;Acc:HGNC:29277]","ZNF687","protein_coding",1,"q21.3"
"4872","ENSG00000143393","1",151291797,151327715,"phosphatidylinositol 4-kinase beta [Source:HGNC Symbol;Acc:HGNC:8984]","PI4KB","protein_coding",-1,"q21.3"
"4875","ENSG00000143390","1",151340640,151347326,"regulatory factor X5 [Source:HGNC Symbol;Acc:HGNC:9986]","RFX5","protein_coding",-1,"q21.3"
"4878","ENSG00000143416","1",151364304,151372707,"selenium binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10719]","SELENBP1","protein_coding",-1,"q21.3"
"4879","ENSG00000159377","1",151399560,151401937,"proteasome 20S subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:9541]","PSMB4","protein_coding",1,"q21.3"
"4881","ENSG00000143375","1",151510510,151538692,"cingulin [Source:HGNC Symbol;Acc:HGNC:17429]","CGN","protein_coding",1,"q21.3"
"4883","ENSG00000143367","1",151540305,151583583,"tuftelin 1 [Source:HGNC Symbol;Acc:HGNC:12422]","TUFT1","protein_coding",1,"q21.3"
"4888","ENSG00000117676","1",26529761,26575030,"ribosomal protein S6 kinase A1 [Source:HGNC Symbol;Acc:HGNC:10430]","RPS6KA1","protein_coding",1,"p36.11"
"4898","ENSG00000284733","1",450740,451678,"olfactory receptor family 4 subfamily F member 29 [Source:HGNC Symbol;Acc:HGNC:31275]","OR4F29","protein_coding",-1,"p36.33"
"4901","ENSG00000117682","1",26432282,26471306,"dehydrodolichyl diphosphate synthase subunit [Source:HGNC Symbol;Acc:HGNC:20603]","DHDDS","protein_coding",1,"p36.11"
"4902","ENSG00000120948","1",11012344,11030528,"TAR DNA binding protein [Source:HGNC Symbol;Acc:HGNC:11571]","TARDBP","protein_coding",1,"p36.22"
"4907","ENSG00000162614","1",77888513,77943895,"nexilin F-actin binding protein [Source:HGNC Symbol;Acc:HGNC:29557]","NEXN","protein_coding",1,"p31.1"
"4908","ENSG00000162616","1",77979175,78017964,"DnaJ heat shock protein family (Hsp40) member B4 [Source:HGNC Symbol;Acc:HGNC:14886]","DNAJB4","protein_coding",1,"p31.1"
"4914","ENSG00000162613","1",77944055,77979110,"far upstream element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4004]","FUBP1","protein_coding",-1,"p31.1"
"4915","ENSG00000169418","1",153678688,153693992,"natriuretic peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:7943]","NPR1","protein_coding",1,"q21.3"
"4920","ENSG00000143624","1",153728050,153774808,"integrator complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:26153]","INTS3","protein_coding",1,"q21.3"
"4923","ENSG00000143554","1",153774354,153780157,"solute carrier family 27 member 3 [Source:HGNC Symbol;Acc:HGNC:10997]","SLC27A3","protein_coding",1,"q21.3"
"4925","ENSG00000143614","1",153789030,153923360,"GATA zinc finger domain containing 2B [Source:HGNC Symbol;Acc:HGNC:30778]","GATAD2B","protein_coding",-1,"q21.3"
"4931","ENSG00000171385","1",111770662,111989668,"potassium voltage-gated channel subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:6239]","KCND3","protein_coding",-1,"p13.2"
"4932","ENSG00000143473","1",210676823,211134165,"potassium voltage-gated channel subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:6250]","KCNH1","protein_coding",-1,"q32.2"
"4935","ENSG00000283952","1",211082872,211188533,"novel protein","","protein_coding",-1,"q32.2"
"4940","ENSG00000078369","1",1785285,1892292,"G protein subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4396]","GNB1","protein_coding",-1,"p36.33"
"4943","ENSG00000168765","1",109656099,109665496,"glutathione S-transferase mu 4 [Source:HGNC Symbol;Acc:HGNC:4636]","GSTM4","protein_coding",1,"p13.3"
"4944","ENSG00000213366","1",109668022,109709551,"glutathione S-transferase mu 2 [Source:HGNC Symbol;Acc:HGNC:4634]","GSTM2","protein_coding",1,"p13.3"
"4945","ENSG00000134184","1",109687814,109709039,"glutathione S-transferase mu 1 [Source:HGNC Symbol;Acc:HGNC:4632]","GSTM1","protein_coding",1,"p13.3"
"4947","ENSG00000134201","1",109711780,109775428,"glutathione S-transferase mu 5 [Source:HGNC Symbol;Acc:HGNC:4637]","GSTM5","protein_coding",1,"p13.3"
"4949","ENSG00000134202","1",109733932,109741038,"glutathione S-transferase mu 3 [Source:HGNC Symbol;Acc:HGNC:4635]","GSTM3","protein_coding",-1,"p13.3"
"4950","ENSG00000198758","1",109750080,109764027,"EPS8 like 3 [Source:HGNC Symbol;Acc:HGNC:21297]","EPS8L3","protein_coding",-1,"p13.3"
"4952","ENSG00000227152","1",248436359,248444316,"olfactory receptor family 2 subfamily T member 7 [Source:HGNC Symbol;Acc:HGNC:15019]","OR2T7","protein_coding",1,"q44"
"4964","ENSG00000284662","1",685716,686654,"olfactory receptor family 4 subfamily F member 16 [Source:HGNC Symbol;Acc:HGNC:15079]","OR4F16","protein_coding",-1,"p36.33"
"4974","ENSG00000143702","1",243124428,243255348,"centrosomal protein 170 [Source:HGNC Symbol;Acc:HGNC:28920]","CEP170","protein_coding",-1,"q43"
"4977","ENSG00000135835","1",180912897,180951614,"KIAA1614 [Source:HGNC Symbol;Acc:HGNC:29327]","KIAA1614","protein_coding",1,"q25.3"
"4981","ENSG00000162402","1",55066359,55215378,"ubiquitin specific peptidase 24 [Source:HGNC Symbol;Acc:HGNC:12623]","USP24","protein_coding",-1,"p32.3"
"4982","ENSG00000122417","1",86346824,86396342,"outer dense fiber of sperm tails 2 like [Source:HGNC Symbol;Acc:HGNC:29225]","ODF2L","protein_coding",-1,"p22.3"
"4983","ENSG00000187642","1",975198,982117,"PPARGC1 and ESRR induced regulator, muscle 1 [Source:HGNC Symbol;Acc:HGNC:28208]","PERM1","protein_coding",-1,"p36.33"
"4984","ENSG00000183853","1",157993273,158100262,"kirre like nephrin family adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:15734]","KIRREL1","protein_coding",1,"q23.1"
"4986","ENSG00000288460","1",158127287,158128301,"small integral membrane protein 42 [Source:HGNC Symbol;Acc:HGNC:55000]","SMIM42","protein_coding",-1,"q23.1"
"4989","ENSG00000158473","1",158178030,158186427,"CD1d molecule [Source:HGNC Symbol;Acc:HGNC:1637]","CD1D","protein_coding",1,"q23.1"
"5006","ENSG00000074800","1",8861000,8879190,"enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]","ENO1","protein_coding",-1,"p36.23"
"5013","ENSG00000131686","1",8945867,8975092,"carbonic anhydrase 6 [Source:HGNC Symbol;Acc:HGNC:1380]","CA6","protein_coding",1,"p36.23"
"5016","ENSG00000142599","1",8352397,8848921,"arginine-glutamic acid dipeptide repeats [Source:HGNC Symbol;Acc:HGNC:9965]","RERE","protein_coding",-1,"p36.23"
"5017","ENSG00000143622","1",155897808,155911404,"Ras like without CAAX 1 [Source:HGNC Symbol;Acc:HGNC:10023]","RIT1","protein_coding",-1,"q22"
"5018","ENSG00000153187","1",244840638,244864560,"heterogeneous nuclear ribonucleoprotein U [Source:HGNC Symbol;Acc:HGNC:5048]","HNRNPU","protein_coding",-1,"q44"
"5020","ENSG00000065526","1",15836095,15940456,"spen family transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:17575]","SPEN","protein_coding",1,"p36.21"
"5021","ENSG00000197617","1",247255972,247257210,"vomeronasal 1 receptor 5 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:19870]","VN1R5","protein_coding",1,"q44"
"5023","ENSG00000249730","1",159432204,159433138,"olfactory receptor family 10 subfamily J member 4 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:15408]","OR10J4","protein_coding",1,"q23.2"
"5026","ENSG00000162585","1",2184461,2212720,"FA core complex associated protein 20 [Source:HGNC Symbol;Acc:HGNC:26428]","FAAP20","protein_coding",-1,"p36.33"
"5030","ENSG00000157933","1",2227388,2310213,"SKI proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10896]","SKI","protein_coding",1,"p36.33"
"5032","ENSG00000162923","1",224385146,224437033,"WD repeat domain 26 [Source:HGNC Symbol;Acc:HGNC:21208]","WDR26","protein_coding",-1,"q42.12"
"5058","ENSG00000143858","1",202590596,202710454,"synaptotagmin 2 [Source:HGNC Symbol;Acc:HGNC:11510]","SYT2","protein_coding",-1,"q32.1"
"5061","ENSG00000117139","1",202724495,202808487,"lysine demethylase 5B [Source:HGNC Symbol;Acc:HGNC:18039]","KDM5B","protein_coding",-1,"q32.1"
"5063","ENSG00000077157","1",202348699,202592706,"protein phosphatase 1 regulatory subunit 12B [Source:HGNC Symbol;Acc:HGNC:7619]","PPP1R12B","protein_coding",1,"q32.1"
"5065","ENSG00000116199","1",179025804,179076567,"FAM20B glycosaminoglycan xylosylkinase [Source:HGNC Symbol;Acc:HGNC:23017]","FAM20B","protein_coding",1,"q25.2"
"5067","ENSG00000186283","1",179082070,179098023,"torsin family 3 member A [Source:HGNC Symbol;Acc:HGNC:11997]","TOR3A","protein_coding",1,"q25.2"
"5068","ENSG00000143322","1",179099330,179229684,"ABL proto-oncogene 2, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:77]","ABL2","protein_coding",-1,"q25.2"
"5077","ENSG00000181773","1",27392622,27395814,"G protein-coupled receptor 3 [Source:HGNC Symbol;Acc:HGNC:4484]","GPR3","protein_coding",1,"p36.11"
"5078","ENSG00000077522","1",236664141,236764631,"actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]","ACTN2","protein_coding",1,"q43"
"5083","ENSG00000143340","1",179743291,179816198,"family with sequence similarity 163 member A [Source:HGNC Symbol;Acc:HGNC:28274]","FAM163A","protein_coding",1,"q25.2"
"5086","ENSG00000169905","1",179839967,179877803,"torsin 1A interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:24055]","TOR1AIP2","protein_coding",-1,"q25.2"
"5088","ENSG00000143337","1",179882042,179920077,"torsin 1A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:29456]","TOR1AIP1","protein_coding",1,"q25.2"
"5095","ENSG00000116260","1",180154869,180204030,"quiescin sulfhydryl oxidase 1 [Source:HGNC Symbol;Acc:HGNC:9756]","QSOX1","protein_coding",1,"q25.2"
"5096","ENSG00000121454","1",180230264,180278984,"LIM homeobox 4 [Source:HGNC Symbol;Acc:HGNC:21734]","LHX4","protein_coding",1,"q25.2"
"5100","ENSG00000097033","1",86704570,86748184,"SH3 domain containing GRB2 like, endophilin B1 [Source:HGNC Symbol;Acc:HGNC:10833]","SH3GLB1","protein_coding",1,"p22.3"
"5199","ENSG00000143549","1",154155308,154194648,"tropomyosin 3 [Source:HGNC Symbol;Acc:HGNC:12012]","TPM3","protein_coding",-1,"q21.3"
"5202","ENSG00000169504","1",24745382,24844321,"chloride intracellular channel 4 [Source:HGNC Symbol;Acc:HGNC:13518]","CLIC4","protein_coding",1,"p36.11"
"5205","ENSG00000133226","1",24631716,24673281,"serine and arginine repetitive matrix 1 [Source:HGNC Symbol;Acc:HGNC:16638]","SRRM1","protein_coding",1,"p36.11"
"5206","ENSG00000285053","1",235328570,235448952,"novel protein, GGPS1-TBCE readthrough","","protein_coding",1,"q42.3"
"5207","ENSG00000188783","1",203475806,203491352,"proline and arginine rich end leucine rich repeat protein [Source:HGNC Symbol;Acc:HGNC:9357]","PRELP","protein_coding",1,"q32.1"
"5208","ENSG00000188770","1",203494153,203508949,"opticin [Source:HGNC Symbol;Acc:HGNC:8158]","OPTC","protein_coding",1,"q32.1"
"5209","ENSG00000058668","1",203626832,203744081,"ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817]","ATP2B4","protein_coding",1,"q32.1"
"5210","ENSG00000125944","1",23303771,23344336,"heterogeneous nuclear ribonucleoprotein R [Source:HGNC Symbol;Acc:HGNC:5047]","HNRNPR","protein_coding",-1,"p36.12"
"5213","ENSG00000077549","1",19338775,19485539,"capping actin protein of muscle Z-line subunit beta [Source:HGNC Symbol;Acc:HGNC:1491]","CAPZB","protein_coding",-1,"p36.13"
"5214","ENSG00000173436","1",19484403,19629821,"mitochondrial contact site and cristae organizing system subunit 10 [Source:HGNC Symbol;Acc:HGNC:32068]","MICOS10","protein_coding",1,"p36.13"
"5217","ENSG00000158747","1",19596979,19658456,"NBL1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:7650]","NBL1","protein_coding",1,"p36.13"
"5218","ENSG00000270136","1",19597067,19656927,"MICOS10-NBL1 readthrough [Source:HGNC Symbol;Acc:HGNC:48338]","MICOS10-NBL1","protein_coding",1,"p36.13"
"5220","ENSG00000158748","1",19664875,19680966,"5-hydroxytryptamine receptor 6 [Source:HGNC Symbol;Acc:HGNC:5301]","HTR6","protein_coding",1,"p36.13"
"5221","ENSG00000020633","1",24899511,24965121,"RUNX family transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:10473]","RUNX3","protein_coding",-1,"p36.11"
"5226","ENSG00000070831","1",22052627,22101360,"cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736]","CDC42","protein_coding",1,"p36.12"
"5236","ENSG00000122176","1",203340628,203351758,"fibromodulin [Source:HGNC Symbol;Acc:HGNC:3774]","FMOD","protein_coding",-1,"q32.1"
"5255","ENSG00000131781","1",147175351,147243050,"flavin containing dimethylaniline monoxygenase 5 [Source:HGNC Symbol;Acc:HGNC:3773]","FMO5","protein_coding",-1,"q21.1"
"5258","ENSG00000131778","1",147242654,147295765,"chromodomain helicase DNA binding protein 1 like [Source:HGNC Symbol;Acc:HGNC:1916]","CHD1L","protein_coding",1,"q21.1"
"5261","ENSG00000269113","1",47760528,47997385,"TraB domain containing 2B [Source:HGNC Symbol;Acc:HGNC:44200]","TRABD2B","protein_coding",-1,"p33"
"5270","ENSG00000117834","1",48222685,48248644,"solute carrier family 5 member 9 [Source:HGNC Symbol;Acc:HGNC:22146]","SLC5A9","protein_coding",1,"p33"
"5273","ENSG00000132122","1",48295373,48472208,"spermatogenesis associated 6 [Source:HGNC Symbol;Acc:HGNC:18309]","SPATA6","protein_coding",-1,"p33"
"5278","ENSG00000060718","1",102876467,103108872,"collagen type XI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2186]","COL11A1","protein_coding",-1,"p21.1"
"5280","ENSG00000135837","1",179954674,180114880,"centrosomal protein 350 [Source:HGNC Symbol;Acc:HGNC:24238]","CEP350","protein_coding",1,"q25.2"
"5281","ENSG00000085832","1",51354263,51519328,"epidermal growth factor receptor pathway substrate 15 [Source:HGNC Symbol;Acc:HGNC:3419]","EPS15","protein_coding",-1,"p32.3"
"5284","ENSG00000134686","1",33323623,33431095,"polyhomeotic homolog 2 [Source:HGNC Symbol;Acc:HGNC:3183]","PHC2","protein_coding",-1,"p35.1"
"5285","ENSG00000159023","1",28887091,29120046,"erythrocyte membrane protein band 4.1 [Source:HGNC Symbol;Acc:HGNC:3377]","EPB41","protein_coding",1,"p35.3"
"5286","ENSG00000159388","1",203305491,203309602,"BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]","BTG2","protein_coding",1,"q32.1"
"5287","ENSG00000116254","1",6101787,6180321,"chromodomain helicase DNA binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16816]","CHD5","protein_coding",-1,"p36.31"
"5288","ENSG00000285629","1",6159430,6197757,"novel transcript","","protein_coding",-1,"p36.31"
"5289","ENSG00000116251","1",6185020,6209389,"ribosomal protein L22 [Source:HGNC Symbol;Acc:HGNC:10315]","RPL22","protein_coding",-1,"p36.31"
"5291","ENSG00000158286","1",6205475,6221299,"ring finger protein 207 [Source:HGNC Symbol;Acc:HGNC:32947]","RNF207","protein_coding",1,"p36.31"
"5292","ENSG00000116237","1",6221193,6235972,"isoprenylcysteine carboxyl methyltransferase [Source:HGNC Symbol;Acc:HGNC:5350]","ICMT","protein_coding",-1,"p36.31"
"5294","ENSG00000158292","1",6247353,6261098,"G protein-coupled receptor 153 [Source:HGNC Symbol;Acc:HGNC:23618]","GPR153","protein_coding",-1,"p36.31"
"5295","ENSG00000173673","1",6244179,6245578,"hes family bHLH transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:26226]","HES3","protein_coding",1,"p36.31"
"5296","ENSG00000069812","1",6412418,6424670,"hes family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:16005]","HES2","protein_coding",-1,"p36.31"
"5297","ENSG00000117569","1",96721665,96823738,"polypyrimidine tract binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17662]","PTBP2","protein_coding",1,"p21.3"
"5301","ENSG00000162571","1",1173880,1197936,"tubulin tyrosine ligase like 10 [Source:HGNC Symbol;Acc:HGNC:26693]","TTLL10","protein_coding",1,"p36.33"
"5302","ENSG00000169972","1",1308597,1311677,"pseudouridine synthase like 1 [Source:HGNC Symbol;Acc:HGNC:26914]","PUSL1","protein_coding",1,"p36.33"
"5304","ENSG00000205116","1",1425871,1430255,"transmembrane protein 88B [Source:HGNC Symbol;Acc:HGNC:37099]","TMEM88B","protein_coding",1,"p36.33"
"5306","ENSG00000178104","1",148808140,149048286,"phosphodiesterase 4D interacting protein [Source:HGNC Symbol;Acc:HGNC:15580]","PDE4DIP","protein_coding",1,"q21.2"
"5308","ENSG00000117152","1",163068775,163076802,"regulator of G protein signaling 4 [Source:HGNC Symbol;Acc:HGNC:10000]","RGS4","protein_coding",1,"q23.3"
"5316","ENSG00000117724","1",214603185,214664574,"centromere protein F [Source:HGNC Symbol;Acc:HGNC:1857]","CENPF","protein_coding",1,"q41"
"5319","ENSG00000160767","1",155247205,155255483,"endosomal transmembrane epsin interactor 3 [Source:HGNC Symbol;Acc:HGNC:1233]","ENTREP3","protein_coding",-1,"q22"
"5320","ENSG00000162543","1",20186096,20196050,"UBX domain protein 10 [Source:HGNC Symbol;Acc:HGNC:26354]","UBXN10","protein_coding",1,"p36.12"
"5321","ENSG00000157211","1",54132687,54153770,"CUB domain containing protein 2 [Source:HGNC Symbol;Acc:HGNC:27297]","CDCP2","protein_coding",-1,"p32.3"
"5323","ENSG00000157216","1",54225432,54413479,"single stranded DNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:15674]","SSBP3","protein_coding",-1,"p32.3"
"5324","ENSG00000143552","1",153992690,154155116,"nucleoporin 210 like [Source:HGNC Symbol;Acc:HGNC:29915]","NUP210L","protein_coding",-1,"q21.3"
"5325","ENSG00000169641","1",23084030,23177808,"leucine zipper protein 1 [Source:HGNC Symbol;Acc:HGNC:14985]","LUZP1","protein_coding",-1,"p36.12"
"5327","ENSG00000179546","1",23191895,23217502,"5-hydroxytryptamine receptor 1D [Source:HGNC Symbol;Acc:HGNC:5289]","HTR1D","protein_coding",-1,"p36.12"
"5328","ENSG00000067208","1",92508696,92792404,"ecotropic viral integration site 5 [Source:HGNC Symbol;Acc:HGNC:3501]","EVI5","protein_coding",-1,"p22.1"
"5329","ENSG00000143774","1",228139962,228148984,"guanylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:4693]","GUK1","protein_coding",1,"q42.13"
"5330","ENSG00000169991","1",18904280,18956676,"intermediate filament family orphan 2 [Source:HGNC Symbol;Acc:HGNC:27006]","IFFO2","protein_coding",-1,"p36.13"
"5331","ENSG00000198400","1",156815636,156881850,"neurotrophic receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:8031]","NTRK1","protein_coding",1,"q23.1"
"5332","ENSG00000241128","1",247722957,247748141,"olfactory receptor family 14 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:15024]","OR14A2","protein_coding",-1,"q44"
"5333","ENSG00000097021","1",6264269,6393767,"acyl-CoA thioesterase 7 [Source:HGNC Symbol;Acc:HGNC:24157]","ACOT7","protein_coding",-1,"p36.31"
"5334","ENSG00000187017","1",6424776,6461367,"espin [Source:HGNC Symbol;Acc:HGNC:13281]","ESPN","protein_coding",1,"p36.31"
"5335","ENSG00000198216","1",181317690,181813262,"calcium voltage-gated channel subunit alpha1 E [Source:HGNC Symbol;Acc:HGNC:1392]","CACNA1E","protein_coding",1,"q25.3"
"5336","ENSG00000179930","1",182054570,182061712,"zinc finger protein 648 [Source:HGNC Symbol;Acc:HGNC:18190]","ZNF648","protein_coding",-1,"q25.3"
"5347","ENSG00000162437","1",64745075,64833232,"ribonucleoprotein, PTB binding 2 [Source:HGNC Symbol;Acc:HGNC:25577]","RAVER2","protein_coding",1,"p31.3"
"5348","ENSG00000122432","1",84506300,84567379,"spermatogenesis associated 1 [Source:HGNC Symbol;Acc:HGNC:14682]","SPATA1","protein_coding",1,"p22.3"
"5352","ENSG00000143569","1",154220179,154271510,"ubiquitin associated protein 2 like [Source:HGNC Symbol;Acc:HGNC:29877]","UBAP2L","protein_coding",1,"q21.3"
"5353","ENSG00000168710","1",109984765,110023742,"adenosylhomocysteinase like 1 [Source:HGNC Symbol;Acc:HGNC:344]","AHCYL1","protein_coding",1,"p13.3"
"5354","ENSG00000143093","1",110031577,110074641,"striatin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:25916]","STRIP1","protein_coding",1,"p13.3"
"5356","ENSG00000156150","1",110059870,110070672,"ALX homeobox 3 [Source:HGNC Symbol;Acc:HGNC:449]","ALX3","protein_coding",-1,"p13.3"
"5358","ENSG00000186150","1",110112443,110113947,"ubiquitin like 4B [Source:HGNC Symbol;Acc:HGNC:32309]","UBL4B","protein_coding",1,"p13.3"
"5364","ENSG00000142875","1",84078062,84238498,"protein kinase cAMP-activated catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9381]","PRKACB","protein_coding",1,"p31.1"
"5366","ENSG00000154007","1",75918873,75932404,"ankyrin repeat and SOCS box containing 17 [Source:HGNC Symbol;Acc:HGNC:19769]","ASB17","protein_coding",-1,"p31.1"
"5369","ENSG00000184005","1",76074746,76634603,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:19343]","ST6GALNAC3","protein_coding",1,"p31.1"
"5377","ENSG00000135778","1",232950605,232983882,"nucleoside-triphosphatase, cancer-related [Source:HGNC Symbol;Acc:HGNC:28204]","NTPCR","protein_coding",1,"q42.2"
"5378","ENSG00000135749","1",232983435,233295725,"pecanex 2 [Source:HGNC Symbol;Acc:HGNC:8736]","PCNX2","protein_coding",-1,"q42.2"
"5381","ENSG00000143674","1",233327724,233385148,"mitogen-activated protein kinase kinase kinase 21 [Source:HGNC Symbol;Acc:HGNC:29798]","MAP3K21","protein_coding",1,"q42.2"
"5385","ENSG00000135750","1",233614106,233672514,"potassium two pore domain channel subfamily K member 1 [Source:HGNC Symbol;Acc:HGNC:6272]","KCNK1","protein_coding",1,"q42.2"
"5387","ENSG00000163485","1",203090654,203167405,"adenosine A1 receptor [Source:HGNC Symbol;Acc:HGNC:262]","ADORA1","protein_coding",1,"q32.1"
"5388","ENSG00000142973","1",46757838,46819413,"cytochrome P450 family 4 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2644]","CYP4B1","protein_coding",1,"p33"
"5392","ENSG00000187048","1",46929177,46941484,"cytochrome P450 family 4 subfamily A member 11 [Source:HGNC Symbol;Acc:HGNC:2642]","CYP4A11","protein_coding",-1,"p33"
"5397","ENSG00000271383","1",149475045,149556361,"NBPF member 19 [Source:HGNC Symbol;Acc:HGNC:31999]","NBPF19","protein_coding",1,"q21.2"
"5402","ENSG00000142920","1",33081104,33123492,"antizyme inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:29957]","AZIN2","protein_coding",1,"p35.1"
"5403","ENSG00000183347","1",89364059,89388160,"guanylate binding protein family member 6 [Source:HGNC Symbol;Acc:HGNC:25395]","GBP6","protein_coding",1,"p22.2"
"5407","ENSG00000069424","1",5990927,6101193,"potassium voltage-gated channel subfamily A regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6229]","KCNAB2","protein_coding",1,"p36.31"
"5408","ENSG00000143442","1",151402724,151459494,"pogo transposable element derived with ZNF domain [Source:HGNC Symbol;Acc:HGNC:18801]","POGZ","protein_coding",-1,"q21.3"
"5409","ENSG00000137942","1",93448118,93554661,"formin binding protein 1 like [Source:HGNC Symbol;Acc:HGNC:20851]","FNBP1L","protein_coding",1,"p22.1"
"5413","ENSG00000177606","1",58776845,58784048,"Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]","JUN","protein_coding",-1,"p32.1"
"5414","ENSG00000171735","1",6785454,7769706,"calmodulin binding transcription activator 1 [Source:HGNC Symbol;Acc:HGNC:18806]","CAMTA1","protein_coding",1,"p36.31"
"5416","ENSG00000143001","1",54980628,54992288,"transmembrane protein 61 [Source:HGNC Symbol;Acc:HGNC:27296]","TMEM61","protein_coding",1,"p32.3"
"5418","ENSG00000162399","1",54998933,55017172,"barttin CLCNK type accessory subunit beta [Source:HGNC Symbol;Acc:HGNC:16512]","BSND","protein_coding",1,"p32.3"
"5419","ENSG00000157191","1",16440721,16460078,"NECAP endocytosis associated 2 [Source:HGNC Symbol;Acc:HGNC:25528]","NECAP2","protein_coding",1,"p36.13"
"5423","ENSG00000160072","1",1471765,1497848,"ATPase family AAA domain containing 3B [Source:HGNC Symbol;Acc:HGNC:24007]","ATAD3B","protein_coding",1,"p36.33"
"5425","ENSG00000205090","1",1534778,1540624,"transmembrane protein 240 [Source:HGNC Symbol;Acc:HGNC:25186]","TMEM240","protein_coding",-1,"p36.33"
"5427","ENSG00000288678","1",31919563,31938010,"novel protein","","protein_coding",-1,"p35.2"
"5428","ENSG00000050628","1",70852353,71047816,"prostaglandin E receptor 3 [Source:HGNC Symbol;Acc:HGNC:9595]","PTGER3","protein_coding",-1,"p31.1"
"5429","ENSG00000011021","1",11806096,11848079,"chloride voltage-gated channel 6 [Source:HGNC Symbol;Acc:HGNC:2024]","CLCN6","protein_coding",1,"p36.22"
"5430","ENSG00000116685","1",11919591,11926428,"KIAA2013 [Source:HGNC Symbol;Acc:HGNC:28513]","KIAA2013","protein_coding",-1,"p36.22"
"5431","ENSG00000198830","1",26472440,26476642,"high mobility group nucleosomal binding domain 2 [Source:HGNC Symbol;Acc:HGNC:4986]","HMGN2","protein_coding",1,"p36.11"
"5433","ENSG00000169218","1",37611350,37634892,"R-spondin 1 [Source:HGNC Symbol;Acc:HGNC:21679]","RSPO1","protein_coding",-1,"p34.3"
